admin_js.admin.api.all_users,全てのユーザ
admin_js.keyboard_shortcuts_help.actions.like,***TO BE TRANSLATED***<b>l</b> Like post
admin_js.keyboard_shortcuts_help.actions.mark_muted,***TO BE TRANSLATED***<b>m</b> then <b>m</b> Mark topic as muted
admin_js.keyboard_shortcuts_help.actions.mark_regular,***TO BE TRANSLATED***<b>m</b> then <b>r</b> Mark topic as regular
admin_js.keyboard_shortcuts_help.actions.mark_tracking,***TO BE TRANSLATED***<b>m</b> then <b>t</b> Mark topic as tracking
admin_js.keyboard_shortcuts_help.actions.mark_watching,***TO BE TRANSLATED***<b>m</b> then <b>w</b> Mark topic as watching
admin_js.keyboard_shortcuts_help.actions.reply_post,***TO BE TRANSLATED***<b>shift r</b> Reply to post
admin_js.keyboard_shortcuts_help.actions.reply_topic,***TO BE TRANSLATED***<b>r</b> Reply to topic
admin_js.keyboard_shortcuts_help.actions.share_post,***TO BE TRANSLATED***<b>shift s</b> Share post
admin_js.keyboard_shortcuts_help.actions.share_topic,***TO BE TRANSLATED***<b>s</b> Share topic
admin_js.keyboard_shortcuts_help.actions.star,***TO BE TRANSLATED***<b>f</b> Star topic
admin_js.keyboard_shortcuts_help.actions.title,***TO BE TRANSLATED***Actions
admin_js.keyboard_shortcuts_help.application.create,***TO BE TRANSLATED***<b>c</b> Create a new topic
admin_js.keyboard_shortcuts_help.application.help,***TO BE TRANSLATED***<b>?</b> Open keyboard shortcuts help
admin_js.keyboard_shortcuts_help.application.notifications,***TO BE TRANSLATED***<b>n</b> Open notifications
admin_js.keyboard_shortcuts_help.application.search,***TO BE TRANSLATED***<b>/</b> Search
admin_js.keyboard_shortcuts_help.application.title,***TO BE TRANSLATED***Application
admin_js.keyboard_shortcuts_help.jump_to.categories,***TO BE TRANSLATED***<b>g</b> then <b>c</b> Categories
admin_js.keyboard_shortcuts_help.jump_to.home,***TO BE TRANSLATED***<b>g</b> then <b>h</b> Home (Latest)
admin_js.keyboard_shortcuts_help.jump_to.latest,***TO BE TRANSLATED***<b>g</b> then <b>l</b> Latest
admin_js.keyboard_shortcuts_help.jump_to.new,***TO BE TRANSLATED***<b>g</b> then <b>n</b> New
admin_js.keyboard_shortcuts_help.jump_to.starred,***TO BE TRANSLATED***<b>g</b> then <b>f</b> Starred
admin_js.keyboard_shortcuts_help.jump_to.title,***TO BE TRANSLATED***Jump To
admin_js.keyboard_shortcuts_help.jump_to.unread,***TO BE TRANSLATED***<b>g</b> then <b>u</b> Unread
admin_js.keyboard_shortcuts_help.navigation.back,***TO BE TRANSLATED***<b>u</b> Back
admin_js.keyboard_shortcuts_help.navigation.next_prev,***TO BE TRANSLATED***<b>`</b>/<b>~</b> Next/previous section
admin_js.keyboard_shortcuts_help.navigation.open,***TO BE TRANSLATED***<b>o</b> or <b>Enter</b> Open selected topic
admin_js.keyboard_shortcuts_help.navigation.title,***TO BE TRANSLATED***Navigation
admin_js.keyboard_shortcuts_help.navigation.up_down,***TO BE TRANSLATED***<b>k</b>/<b>j</b> Move selection up/down
admin_js.keyboard_shortcuts_help.title,***TO BE TRANSLATED***Keyboard Shortcuts (experimental)
admin_js.lightbox.download,ダウンロード
admin_js.type_to_filter,設定項目の絞り込み...
js.activity,アクティビティ
js.admin_title,管理者
js.age,経過
js.assets_changed_confirm,"***TO BE TRANSLATED***Discourse has been updated, would you like to refresh to get the latest version?"
js.bookmarks.created,このポストをブックマークしました
js.bookmarks.last_read,このポストをブックマークする
js.bookmarks.not_bookmarked,このポストをブックマークする
js.bookmarks.not_logged_in,ポストをブックマークするには、ログインする必要があります
js.browser_update,"<a href=""http://www.discourse.org/faq/#browser"">ご使用中のブラウザが古すぎるため Discourse フォーラムが正しく動作しません</a>。<a href=""http://browsehappy.com"">ブラウザをアップグレードしてください</a>。"
js.cancel,キャンセル
js.categories.all,全てのカテゴリ
js.categories.all_subcategories,全てのサブカテゴリ
js.categories.category,カテゴリ
js.categories.latest,最新ポスト
js.categories.latest_by,latest by
js.categories.no_subcategory,サブカテゴリなし
js.categories.post_stat_sentence.one,***TO BE TRANSLATED***%{count} new post in the past %{unit}.
js.categories.post_stat_sentence.other,***TO BE TRANSLATED***%{count} new posts in the past %{unit}.
js.categories.post_stats,***TO BE TRANSLATED***The number of new posts.
js.categories.posts,ポスト
js.categories.subcategories,サブカテゴリ:
js.categories.toggle_ordering,カテゴリ並び替えモードをトグル
js.categories.topic_stat_sentence.one,***TO BE TRANSLATED***%{count} new topic in the past %{unit}.
js.categories.topic_stat_sentence.other,***TO BE TRANSLATED***%{count} new topics in the past %{unit}.
js.categories.topic_stats,***TO BE TRANSLATED***The number of new topics.
js.categories.topics,トピック
js.categories_list,カテゴリ一覧
js.category.add_permission,パーミッションを追加
js.category.already_used,この色は他のカテゴリで利用しています
js.category.auto_close_label,トピックを自動的に閉じるまでの時間:
js.category.auto_close_units,時間
js.category.background_color,背景色
js.category.badge_colors,バッジの色
js.category.can,can&hellip; 
js.category.change_in_category_topic,カテゴリ内容を編集
js.category.choose,カテゴリを選択&hellip;
js.category.color_placeholder,任意の Web カラー
js.category.create,カテゴリを作成する
js.category.creation_error,カテゴリの作成に失敗しました。
js.category.default_position,デフォルトポジション
js.category.delete,カテゴリを削除する
js.category.delete_confirm,本当にこのカテゴリを削除してもよいですか?
js.category.delete_error,カテゴリ削除に失敗しました。
js.category.description,カテゴリ内容
js.category.edit,編集
js.category.edit_long,カテゴリを編集
js.category.edit_permissions,パーミッションを編集
js.category.email_in,***TO BE TRANSLATED***Custom incoming email address:
js.category.email_in_allow_strangers,***TO BE TRANSLATED***Accept emails from non-users (aka strangers)
js.category.foreground_color,文字表示色
js.category.general,一般
js.category.list,カテゴリをリストする
js.category.more_posts,{{posts}}個のポストをすべて見る...
js.category.name,カテゴリ名
js.category.name_placeholder,簡潔な名前にしてください。
js.category.no_description,このカテゴリの説明はありません。トピック定義を編集してください。
js.category.none,(カテゴリなし)
js.category.parent,親カテゴリ
js.category.position,ポジション
js.category.save,カテゴリを保存する
js.category.save_error,カテゴリの保存に失敗しました。
js.category.security,セキュリティ
js.category.settings,設定
js.category.this_year,今年
js.category.topic,カテゴリトピック
js.category.view,カテゴリ内のトピックを見る
js.category_title,カテゴリ
js.changed_by,by {{author}}
js.character_count.one,{{count}}文字
js.character_count.other,{{count}}文字
js.choose_topic.none_found,トピックが見つかりませんでした
js.choose_topic.title.placeholder,ここにトピックのタイトルを入力
js.choose_topic.title.search,トピック名、URL、または ID でトピックを検索:
js.close,閉じる
js.composer.admin_options_title,このトピックの詳細設定
js.composer.auto_close_error,正しい値を入力してください。
js.composer.auto_close_examples,"例: 24, 17:00, 2013-11-22 14:00"
js.composer.auto_close_label,このトピックを自動的に終了する時間:
js.composer.auto_close_units,(何時間後か、自動終了する具体的な時間、またはタイムスタンプ)
js.composer.bold_text,強調されたテキスト
js.composer.bold_title,強調
js.composer.cancel,キャンセル
js.composer.code_text,コードサンプルをここに入力
js.composer.code_title,コードサンプル
js.composer.create_pm,プライベートメッセージの作成
js.composer.create_topic,トピックを作成
js.composer.drafts_offline,オフラインで下書き
js.composer.edit_reason_placeholder,編集理由は何ですか?
js.composer.error.category_missing,カテゴリを選択してください。
js.composer.error.post_length,ポストは{{min}}文字以上必要です。
js.composer.error.post_missing,ポスト内容が空です。
js.composer.error.title_missing,タイトルを入力してください。
js.composer.error.title_too_long,タイトルは最長で{{max}}未満です。
js.composer.error.title_too_short,タイトルは{{min}}文字以上必要です。
js.composer.heading_text,見出し
js.composer.heading_title,見出し
js.composer.help,Markdown 編集のヘルプ
js.composer.hide_preview,&laquo; プレビューを隠す
js.composer.hr_title,水平線
js.composer.italic_text,斜体のテキスト
js.composer.italic_title,斜体
js.composer.link_description,リンクの説明文をここに入力
js.composer.link_dialog_title,ハイパーリンクの挿入
js.composer.link_optional_text,タイトル(オプション)
js.composer.link_title,ハイパーリンク
js.composer.list_item,リストアイテム
js.composer.min_length.need_more_for_reply,ポストにあと{{n}}文字必要
js.composer.min_length.need_more_for_title,タイトルにあと{{n}}文字必要
js.composer.olist_title,番号付きリスト
js.composer.posting_not_on_topic,回答したいトピックはどれですか?
js.composer.quote_post_title,ポスト全体を引用
js.composer.quote_text,ブロック引用
js.composer.quote_title,ブロック引用
js.composer.redo_title,やり直しのやり直し
js.composer.reply,回答
js.composer.reply_here,ここに回答
js.composer.reply_original,元のトピックに回答
js.composer.reply_placeholder,本文をここに入力してください。Markdown や BBCode を利用することもできます。画像をアップロードするにはドラッグまたはペーストしてください。
js.composer.save_edit,編集内容を保存
js.composer.saved,保存完了!
js.composer.saved_draft,編集中のポストがあります。このボックス内をクリックすると編集を再開できます。
js.composer.saved_draft_tip,保存しました
js.composer.saved_local_draft_tip,ローカルに保存しました
js.composer.saving,保存中...
js.composer.saving_draft_tip,保存中
js.composer.show_edit_reason,(編集理由を追加)
js.composer.show_preview,プレビューを表示する &raquo;
js.composer.similar_topics,このトピックに似ているトピック...
js.composer.title,***TO BE TRANSLATED***Or press Ctrl+Enter
js.composer.title_placeholder,トピックのタイトルをここに入力してください。
js.composer.toggler,編集パネルの表示/非表示
js.composer.ulist_title,箇条書き
js.composer.undo_title,やり直し
js.composer.upload_description,アップロード内容の説明文をここに入力
js.composer.upload_title,アップロード
js.composer.uploading,アップロード中...
js.composer.users_placeholder,ユーザの追加
js.composer.view_new_post,新規ポストを見る。
js.create_account.action,今すぐアカウントを作成しましょう!
js.create_account.failed,エラーが発生しました。既にこのメールアドレスは使用中かもしれません。「パスワードを忘れました」リンクを試してみてください
js.create_account.invite,まだアカウントをもっていない?
js.create_account.title,アカウントの作成
js.created,作成
js.current_user,ユーザページに移動
js.daily,毎日
js.dates.medium.date_year,***TO BE TRANSLATED***D MMM YYYY
js.dates.medium.x_days.one,1日
js.dates.medium.x_days.other,%{count}日
js.dates.medium.x_hours.one,1時間
js.dates.medium.x_hours.other,%{count}時間
js.dates.medium.x_minutes.one,1分
js.dates.medium.x_minutes.other,%{count}分
js.dates.medium_with_ago.x_days.one,1日前
js.dates.medium_with_ago.x_days.other,%{count}日前
js.dates.medium_with_ago.x_hours.one,1時間前
js.dates.medium_with_ago.x_hours.other,%{count}時間前
js.dates.medium_with_ago.x_minutes.one,1分前
js.dates.medium_with_ago.x_minutes.other,%{count}分前
js.dates.tiny.about_x_hours.one,1h
js.dates.tiny.about_x_hours.other,%{count}h
js.dates.tiny.about_x_years.one,1d
js.dates.tiny.about_x_years.other,%{count}d
js.dates.tiny.almost_x_years.one,1y
js.dates.tiny.almost_x_years.other,%{count}y
js.dates.tiny.date_month,M月D日
js.dates.tiny.date_year,***TO BE TRANSLATED***MMM 'YY
js.dates.tiny.half_a_minute,< 1s
js.dates.tiny.less_than_x_minutes.one,< 1m
js.dates.tiny.less_than_x_minutes.other,< %{count}m
js.dates.tiny.less_than_x_seconds.one,< 1s
js.dates.tiny.less_than_x_seconds.other,< %{count}s
js.dates.tiny.over_x_years.one,> 1y
js.dates.tiny.over_x_years.other,> %{count}y
js.dates.tiny.x_days.one,1d
js.dates.tiny.x_days.other,%{count}d
js.dates.tiny.x_minutes.one,1m
js.dates.tiny.x_minutes.other,%{count}m
js.dates.tiny.x_seconds.one,1s
js.dates.tiny.x_seconds.other,%{count}s
js.day,日
js.desktop_view,デスクトップ表示
js.edit,このトピックのタイトルとカテゴリを編集
js.email,メール
js.every_two_weeks,隔週
js.faq,FAQ
js.filters.categories.help,カテゴリ毎に整理されたトピックを表示
js.filters.categories.title,カテゴリ
js.filters.categories.title_in,カテゴリ - {{categoryName}}
js.filters.category.help,{{categoryName}} カテゴリの最新トピック
js.filters.category.title.one,{{categoryName}} (1)
js.filters.category.title.other,{{categoryName}} ({{count}})
js.filters.category.title.zero,{{categoryName}}
js.filters.hot.help,話題のトピック
js.filters.hot.title,ホット
js.filters.latest.help,最新のトピック
js.filters.latest.title,最新
js.filters.new.help,前回ログイン時からの新規トピック
js.filters.new.lower_title,***TO BE TRANSLATED***new
js.filters.new.lower_title_with_count.one,***TO BE TRANSLATED***1 new
js.filters.new.lower_title_with_count.other,***TO BE TRANSLATED***{{count}} new
js.filters.new.lower_title_with_count.zero,***TO BE TRANSLATED***
js.filters.new.title.one,新規 (1)
js.filters.new.title.other,新規 ({{count}})
js.filters.new.title.zero,新規
js.filters.posted.help,あなたが投稿したトピック
js.filters.posted.title,あなたのポスト
js.filters.read.help,既読のトピックを、最後に読んだ順に表示
js.filters.read.title,既読
js.filters.starred.help,***TO BE TRANSLATED***topics you starred
js.filters.starred.title,スター付き
js.filters.top.daily.title,***TO BE TRANSLATED***Top Daily
js.filters.top.help,"***TO BE TRANSLATED***a selection of best topics in the last year, month, week or day"
js.filters.top.monthly.title,***TO BE TRANSLATED***Top Monthly
js.filters.top.other_periods,トップトピックをもっと見る
js.filters.top.this_month,今月
js.filters.top.this_week,今週
js.filters.top.this_year,今年
js.filters.top.title,トップ
js.filters.top.today,本日
js.filters.top.weekly.title,***TO BE TRANSLATED***Top Weekly
js.filters.top.yearly.title,***TO BE TRANSLATED***Top Yearly
js.filters.unread.help,未読ポストのあるトピック
js.filters.unread.title.one,未読 (1)
js.filters.unread.title.other,未読 ({{count}})
js.filters.unread.title.zero,未読
js.filters.with_category,***TO BE TRANSLATED***%{filter} %{category} Topics
js.filters.with_topics,***TO BE TRANSLATED***%{filter} Topics
js.first_post,最初のポスト
js.flagging.action,フラグをつける
js.flagging.cant,申し訳ありませんが、現在このポストにフラグをたてることはできません。
js.flagging.custom_message.at_least,少なくとも{{n}}文字入力してください
js.flagging.custom_message.left,残り{{n}}文字
js.flagging.custom_message.more,あと{{n}}文字...
js.flagging.custom_placeholder_notify_moderators,ポストについて、モデレータの確認が必要な理由を書いてください。問題の詳細を書くとともに、可能であれば参照リンクなども加えてください。
js.flagging.custom_placeholder_notify_user,ポストについて、このユーザに個人的に直接確認する必要がある内容を書いてください。詳細かつ建設的に、そして何よりマナーを守った内容にしてください。
js.flagging.delete_confirm,このユーザによる<b>%{posts}</b>個のポストと<b>%{topics}</b>個のトピックを削除し、アカウントを削除し、このユーザのメールアドレス <b>%{email}</b> をブロックリストに追加しようとしています。本当にこのユーザをスマパー認定してもよいですか?
js.flagging.delete_spammer,スパマーの削除
js.flagging.notify_action,通知する
js.flagging.take_action,アクションを取る
js.flagging.title,このポストにフラグをつける理由は何ですか?
js.flagging.yes_delete_spammer,はい、スパマーを削除する
js.flagging_topic.action,トピックにフラグを立てる
js.flagging_topic.notify_action,***TO BE TRANSLATED***Private message
js.flagging_topic.title,このトピックに密かにフラグを立てる理由は何ですか？
js.flags_title,フラグ
js.forgot_password.action,パスワードを忘れました
js.forgot_password.complete,パスワードリセット用のメールを送信しました。
js.forgot_password.invite,ユーザ名かメールアドレスを入力してください。パスワードリセット用のメールを送信します。
js.forgot_password.reset,パスワードをリセット
js.forgot_password.title,パスワードを忘れました
js.generic_error,申し訳ありませんが、エラーが発生しました
js.generic_error_with_reason,エラーが発生しました: %{error}
js.go_back,戻る
js.groups.alias_levels.everyone,***TO BE TRANSLATED***Everyone
js.groups.alias_levels.members_mods_and_admins,"***TO BE TRANSLATED***Only group members, moderators and admins"
js.groups.alias_levels.mods_and_admins,***TO BE TRANSLATED***Only moderators and Admins
js.groups.alias_levels.nobody,***TO BE TRANSLATED***Nobody
js.groups.alias_levels.only_admins,***TO BE TRANSLATED***Only admins
js.groups.alias_levels.title,***TO BE TRANSLATED***Who can use this group as an alias?
js.groups.members,***TO BE TRANSLATED***Members
js.groups.posts,***TO BE TRANSLATED***Posts
js.groups.title.one,***TO BE TRANSLATED***group
js.groups.title.other,***TO BE TRANSLATED***groups
js.history,History
js.in_n_days.one,あと1日
js.in_n_days.other,あと{{count}}日
js.in_n_hours.one,あと1時間
js.in_n_hours.other,あと{{count}}時間
js.in_n_minutes.one,あと1分
js.in_n_minutes.other,あと{{count}}分
js.in_n_seconds.one,あと1秒
js.in_n_seconds.other,あと{{count}}秒
js.joined,参加者
js.last_post,最終ポスト
js.last_seen,最終アクティビティ
js.learn_more,より詳しく...
js.less,Less
js.likes,いいね！
js.likes_long,このトピックには{{number}}つ「いいね！」がついています
js.links,リンク
js.loading,読み込み中...
js.log_in,ログイン
js.login.authenticating,認証中...
js.login.awaiting_approval,アカウントはまだスタッフメンバーに承認されていません。承認され次第メールにてお知らせいたします。
js.login.awaiting_confirmation,アカウントはアクティベーション待ち状態です。もう一度アクティベーションメールを送信するには「パスワードを忘れました」リンクをクリックしてください。
js.login.email_placeholder,メールアドレスかユーザ名
js.login.error,不明なエラー
js.login.facebook.message,Facebook による認証 (ポップアップがブロックされていないことを確認してください)
js.login.facebook.title,with Facebook
js.login.github.message,Github による認証 (ポップアップがブロックされていないことを確認してください)
js.login.github.title,with GitHub
js.login.google.message,Google による認証 (ポップアップがブロックされていないことを確認してください)
js.login.google.title,with Google
js.login.logging_in,ログイン中...
js.login.not_activated,まだログインできません。<b>{{sentTo}}</b> にアクティベーションメールを送信しております。メールの指示に従ってアカウントのアクティベーションを行ってください。
js.login.or,または
js.login.password,パスワード
js.login.requires_invite,申し訳ありませんが、このフォーラムは招待制です。
js.login.resend_activation_email,再度アクティベーションメールを送信するにはここをクリックシてください。
js.login.reset_password,パスワードをリセット
js.login.sent_activation_email_again,<b>{{currentEmail}}</b> にアクティベーションメールを再送しました。メール到着まで数分かかることがあります (いつまで立ってもメールが届かない場合は、念のためスパムフォルダの中も確認してみてください)。
js.login.title,ログイン
js.login.twitter.message,Twitter による認証 (ポップアップがブロックされていないことを確認してください)
js.login.twitter.title,with Twitter
js.login.username,ログイン名
js.login.yahoo.message,Yahoo による認証 (ポップアップがブロックされていないことを確認してください)
js.login.yahoo.title,with Yahoo
js.max,***TO BE TRANSLATED***max
js.mobile_view,モバイル表示
js.month,月
js.month_desc,過去30日間に投稿されたトピック
js.more,More
js.mute,ミュート
js.never,never
js.new_topics_inserted,新しいトピックが {{count}}個あります
js.no_value,いいえ
js.not_implemented,申し訳ありませんが、この機能はまだ実装されていません
js.not_logged_in_user,***TO BE TRANSLATED***user page with summary of current activity and preferences
js.notifications.edited,<i title='edited' class='fa fa-pencil'></i> {{username}} {{link}}
js.notifications.invited_to_private_message,<i class='fa fa-envelope-o' title='private message'></i> {{username}} {{link}}
js.notifications.invitee_accepted,<i title='accepted your invitation' class='fa fa-sign-in'></i> {{username}} が招待を受理しました
js.notifications.liked,<i title='liked' class='fa fa-heart'></i> {{username}} {{link}}
js.notifications.linked,***TO BE TRANSLATED***<i title='linked post' class='fa fa-arrow-left'></i> {{username}} {{link}}
js.notifications.mentioned,<span title='mentioned' class='icon'>@</span> {{username}} {{link}}
js.notifications.more,古い通知を確認する
js.notifications.moved_post,<i title='moved post' class='fa fa-arrow-right'></i> {{username}} が {{link}} を移動しました
js.notifications.none,現在通知はありません。
js.notifications.posted,<i title='replied' class='fa fa-reply'></i> {{username}} {{link}}
js.notifications.private_message,<i class='fa fa-envelope-o' title='private message'></i> {{username}} {{link}}
js.notifications.quoted,<i title='quoted' class='fa fa-quote-right'></i> {{username}} {{link}}
js.notifications.replied,<i title='replied' class='fa fa-reply'></i> {{username}} {{link}}
js.notifications.title,@ユーザ名 メンションやあなたのポストやトピックへの回答、プライベートメッセージなどの通知
js.notifications.total_flagged,フラグがたったポストの総数
js.now,たった今
js.number.human.storage_units.format,%n %u
js.number.human.storage_units.units.byte.one,Byte
js.number.human.storage_units.units.byte.other,Bytes
js.number.human.storage_units.units.gb,GB
js.number.human.storage_units.units.kb,KB
js.number.human.storage_units.units.mb,MB
js.number.human.storage_units.units.tb,TB
js.of_value,/
js.or,or
js.original_post,大元のポスト
js.permission_types.create_post,回答できる / 閲覧できる
js.permission_types.full,作成できる / 回答できる / 閲覧できる
js.permission_types.readonly,閲覧できる
js.post.abandon.confirm,編集中のポストを破棄してもよろしいですか?
js.post.abandon.no_value,いいえ
js.post.abandon.yes_value,はい
js.post.actions.by_others.bookmark.one,1人のユーザがこのポストをブックマークしました
js.post.actions.by_others.bookmark.other,{{count}}人のユーザがこのポストをブックマークしました
js.post.actions.by_others.inappropriate.one,1人のユーザが不適切であるとフラグをたてました
js.post.actions.by_others.inappropriate.other,{{count}}人のユーザが不適切であるとフラグをたてました
js.post.actions.by_others.like.one,1人のユーザが「いいね！」しました
js.post.actions.by_others.like.other,{{count}}人のユーザが「いいね！」しました
js.post.actions.by_others.notify_moderators.one,1人のユーザがモデレータ確認を要するとフラグをたてました
js.post.actions.by_others.notify_moderators.other,{{count}}人のユーザがモデレータ確認を要するとフラグをたてました
js.post.actions.by_others.notify_user.one,1人のユーザがこのユーザにプライベートメッセージを送信しました
js.post.actions.by_others.notify_user.other,{{count}}人のユーザがこのユーザにプライベートメッセージを送信しました
js.post.actions.by_others.off_topic.one,1人のユーザがオフトピックであるとフラグをたてました
js.post.actions.by_others.off_topic.other,{{count}}人のユーザがオフトピックであるとフラグをたてました
js.post.actions.by_others.spam.one,1人のユーザがスパムであるとフラグをたてました
js.post.actions.by_others.spam.other,{{count}}人のユーザがスパムであるとフラグをたてました
js.post.actions.by_others.vote.one,1人のユーザがこのポストに投票しました
js.post.actions.by_others.vote.other,{{count}}人のユーザがこのポストに投票しました
js.post.actions.by_you.bookmark,あなたがこのポストをブックマークしました
js.post.actions.by_you.inappropriate,あなたが不適切であるとフラグをたてました
js.post.actions.by_you.like,あなたが「いいね！」しました
js.post.actions.by_you.notify_moderators,あなたがモデレータ確認を要するとフラグをたてました
js.post.actions.by_you.notify_user,あなたがこのユーザにプライベートメッセージを送信しました
js.post.actions.by_you.off_topic,あなたがオフトピックであるとフラグをたてました
js.post.actions.by_you.spam,あなたがスパムであるとフラグを立てています
js.post.actions.by_you.vote,あなたがこのポストに投票しました
js.post.actions.by_you_and_others.bookmark.one,あなたともう1人がこのポストをブックマークしました
js.post.actions.by_you_and_others.bookmark.other,あなたと他{{count}}人がこのポストをブックマークしました
js.post.actions.by_you_and_others.inappropriate.one,あなたともう1人が不適切であるとフラグをたてました
js.post.actions.by_you_and_others.inappropriate.other,あなたと他{{count}}人が不適切であるとフラグをたてました
js.post.actions.by_you_and_others.like.one,あなたと他1人が「いいね！」しました
js.post.actions.by_you_and_others.like.other,あなたと他{{count}}人が「いいね！」しました
js.post.actions.by_you_and_others.notify_moderators.one,あなたともう1人がモデレータ確認を要するとフラグをたてました
js.post.actions.by_you_and_others.notify_moderators.other,あなたと他{{count}}人がモデレータ確認を要するとフラグをたてました
js.post.actions.by_you_and_others.notify_user.one,あなたともう1人がこのユーザにプライベートメッセージを送信しました
js.post.actions.by_you_and_others.notify_user.other,あなたと他{{count}}人がこのユーザにプライベートメッセージを送信しました
js.post.actions.by_you_and_others.off_topic.one,あなたともう1人がオフトピックであるとフラグをたてました
js.post.actions.by_you_and_others.off_topic.other,あなたと他{{count}}人がオフトピックであるとフラグをたてました
js.post.actions.by_you_and_others.spam.one,あなたともう1人がスパムであるとフラグをたてました
js.post.actions.by_you_and_others.spam.other,あなたと他{{count}}人がスパムであるとフラグをたてました
js.post.actions.by_you_and_others.vote.one,あなたともう1人がこのポストに投票しました
js.post.actions.by_you_and_others.vote.other,あなたと他{{count}}人がこのポストに投票しました
js.post.actions.clear_flags.one,フラグをクリア
js.post.actions.clear_flags.other,フラグをクリア
js.post.actions.flag,フラグ
js.post.actions.it_too.bookmark,ブックマークする
js.post.actions.it_too.custom_flag,フラグをたてる
js.post.actions.it_too.inappropriate,フラグをたてる
js.post.actions.it_too.like,あなたも「いいね！」する
js.post.actions.it_too.off_topic,フラグをたてる
js.post.actions.it_too.spam,フラグをたてる
js.post.actions.it_too.vote,投票する
js.post.actions.people.bookmark,{{icons}} がブックマークしました
js.post.actions.people.inappropriate,{{icons}} が不適切であるとマークしました
js.post.actions.people.like,{{icons}} が「いいね！」しています
js.post.actions.people.notify_moderators,{{icons}} がモデレータに通報しました
js.post.actions.people.notify_moderators_with_url,{{icons}} <a href='{{postUrl}}'>通知されたモデレータ</a>
js.post.actions.people.notify_user,{{icons}} がプライベートメッセージを送信しました
js.post.actions.people.notify_user_with_url,{{icons}} が<a href='{{postUrl}}'>プライベートメッセージe</a>を送信しました
js.post.actions.people.off_topic,{{icons}} がオフトピックであるとマークしました
js.post.actions.people.spam,{{icons}} がスパムであるとマークしました
js.post.actions.people.vote,{{icons}} が投票しました
js.post.actions.undo.bookmark,ブックマークを取り消す
js.post.actions.undo.inappropriate,フラグを取り消す
js.post.actions.undo.like,「いいね！」を取り消す
js.post.actions.undo.off_topic,フラグを取り消す
js.post.actions.undo.spam,フラグを取り消す
js.post.actions.undo.vote,投票を取り消す
js.post.archetypes.save,保存オプション
js.post.continue_discussion,{{postLink}} からの議論を継続:
js.post.controls.delete,このポストを削除する
js.post.controls.delete_replies.confirm.one,このポストに対する回答も削除しますか?
js.post.controls.delete_replies.confirm.other,このポストに対する{{count}}個の回答を削除しますか?
js.post.controls.delete_replies.no_value,いいえ、ポストのみ削除する
js.post.controls.delete_replies.yes_value,はい、回答も一緒に削除する
js.post.controls.edit,このポストを編集
js.post.controls.flag,このポストにフラグをつける、または通知を送る
js.post.controls.like,このポストを「いいね！」する
js.post.controls.more,もっと読む
js.post.controls.reply,このポストに対する回答の編集を開始
js.post.controls.share,このポストのリンクをシェアする
js.post.controls.undelete,このポストを復帰する
js.post.delete.confirm.one,本当にこのポストを削除しますか?
js.post.delete.confirm.other,本当にこれらのポストを削除しますか?
js.post.deleted_by,削除者
js.post.deleted_by_author.one,(ポストは執筆者により取り下げられました。フラグがつかない場合%{count}時間後に自動的に削除されます)
js.post.deleted_by_author.other,(ポストは執筆者により取り下げられました。フラグがつかない場合%{count}時間後に自動的に削除されます)
js.post.edit,{{replyAvatar}} {{username}} による {{link}} を編集
js.post.edit_reason,理由: 
